VEHICLE UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   42  | Cluster_2 |      0.0      |
|   43  | Cluster_1 |      0.0      |
|   43  | Cluster_2 |      0.0      |
|   44  | Cluster_1 |      0.0      |
|   44  | Cluster_2 |      0.0      |
|   45  | Cluster_1 |      0.0      |
|   45  | Cluster_2 |      0.0      |
|   46  | Cluster_1 |      0.0      |
|   46  | Cluster_2 |      0.0      |
|   47  | Cluster_1 |      0.0      |
|   47  | Cluster_2 |      0.0      |
|   48  | Cluster_1 |      0.0      |
|   48  | Cluster_2 |      0.0      |
|   49  | Cluster_1 |      0.0      |
|   49  | Cluster_2 |      0.0      |
|   50  | Cluster_1 |      0.0      |
|   50  | Cluster_2 |      0.0      |
+-------+-----------+---------------+
