node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
C2_D2,20,0.06034306419392427,98.87499999999999,85.5,590354.1923036797,1e-05,,,,206449.0,204938.0,5778.473700018367,0.0,15.445199998794124,113.05710001033731,,,41.564299986930564,0.0,2.0262000034563243,0.8111000061035156,170.066599996062,2.83730000955984,33926.201900001615,,,62.86979385619984,0.7401298431828618,0.018521894462406634,0.7586517376452684,60.873217676751324,27974.824299977627
Cluster_1,20,,,,,,,,,616342.0,411386.0,,0.0,13.342599995667115,113.50259999744594,43.89465000713244,,46.60729999886826,0.0,57.88599999505095,22.983100003330037,217.34714999911375,80.86909999838099,,107.18089999863878,,0.0,0.9458947967961432,0.5279134847894311,1.4738082815855744,0.0,0.0
Cluster_2,20,,,,,,,,,616342.0,411387.0,,0.0,18.485200009308755,110.05290001048706,43.89465000713244,,43.399699992733076,0.0,65.37089997436851,0.5950999911874533,215.83245001966134,65.96599996555597,,124.89440001081675,,0.0,0.9393028224855663,0.4306260477751494,1.3699288702607157,0.0,0.0
Server,20,,,,,,91.12,2.0,0.8814566423535299,409876.0,412932.0,,0.0,,,,87.78930001426488,,0.0,29.14759999839589,34.19249999569729,0.0,63.34009999409318,,,2022.3593000264373,0.0,0.0,0.41348417276144034,0.41348417276144034,4.262825779270381,1959.019200032344
C1_D1,21,0.05354236042747895,98.83333333333333,88.0,619871.3609299494,1e-05,,,,,204938.0,5567.590599996038,0.0,,,,,,0.0,,11.788800009526312,0.0,11.788800009526312,34495.52910000784,,,60.5753857279569,0.0,0.07695728646218777,0.07695728646218777,62.92154174720497,28916.14970000228
C1_D2,21,0.04280428542445103,99.29166666666666,88.5,619871.3609299494,1e-05,,,,206448.0,204938.0,5218.372000003001,0.0,16.69749998836778,154.4655000034254,,,44.86019999603741,0.0,1.94240000564605,0.25240000104531646,216.0231999878306,2.1948000066913664,34494.517300016014,,,56.775887360032655,0.9401329663470389,0.014327654443681241,0.9544606207907201,63.23004980484024,29057.92730001849
C2_D1,21,0.05294645859549443,99.00000000000001,87.0,619871.3609299494,1e-05,,,,,204938.0,6353.528400009964,0.0,,,,,,0.0,,0.1635999942664057,0.0,0.1635999942664057,34489.66510000173,,,69.1263889921084,0.0,0.0010679807625710964,0.0010679807625710964,61.22387746559457,28135.9730999975
C2_D2,21,0.05729110341519117,98.83333333333333,86.0,619871.3609299494,1e-05,,,,206448.0,204938.0,5755.436300009023,0.0,12.06910001928918,129.32980002369732,,,43.161300010979176,0.0,2.036899997619912,0.21500000730156898,184.56020005396567,2.251900004921481,34487.97449999256,,,62.61914694409818,0.8032059906348588,0.01470040323212743,0.8179063938669862,62.115499993436046,28545.72609992465
Cluster_1,21,,,,,,,,,616341.0,411386.0,,0.0,19.504399999277666,157.08220002125017,55.87769999692682,,53.31550000119023,0.0,16.63249998819083,19.09919999889098,285.7798000186449,35.73169998708181,,78.20210000500083,,0.0,1.2437136896811425,0.23325653751567008,1.4769702271968126,0.0,0.0
Cluster_2,21,,,,,,,,,616342.0,411386.0,,0.0,15.68270000279881,144.5104000158608,55.87769999692682,,53.37440001312643,0.0,24.200699961511418,0.4399000317789614,269.44520002871286,24.64059999329038,,94.88570000394247,,0.0,1.1726255105249583,0.1608538367561996,1.333479347281158,0.0,0.0
Server,21,,,,,,91.2,2.0,0.6447277628987969,409876.0,412931.0,,0.0,,,,111.75539999385364,,0.0,24.029099993640557,19.227499986300245,0.0,43.2565999799408,,,2533.6125000030734,0.0,0.0,0.28237908466905354,0.28237908466905354,5.419014438450336,2490.3559000231326
C1_D1,22,0.05417665749788284,98.75,88.0,649388.5295562192,1e-05,,,,,204938.0,5910.851699998602,0.0,,,,,,0.0,,0.14179997378960252,0.0,0.14179997378960252,34695.7988999784,,,64.3100664959848,0.0,0.0009256702288985253,0.0009256702288985253,62.63573655041308,28784.805400006007
C1_D2,22,0.04105199408407013,99.33333333333333,89.5,649388.5295562192,1e-05,,,,206449.0,204938.0,5872.068800003035,0.0,14.937900006771088,145.91719998861663,,,37.76360000483692,0.0,1.9314000091981143,0.5525000160560012,198.61870000022464,2.4839000252541155,34698.29369999934,,,63.88810854403303,0.8643885824009777,0.016214899364858867,0.8806034817658366,62.28826612473652,28625.122299970826
C2_D1,22,0.05260739187399546,98.87499999999999,87.0,649388.5295562192,1e-05,,,,,204938.0,6317.308900004718,0.0,,,,,,0.0,,2.6461999805178493,0.0,2.6461999805178493,34702.97589999973,,,68.73232083205134,0.0,0.01727439347282052,0.01727439347282052,61.761453260831544,28383.020800014492
C2_D2,22,0.05521802475055058,98.99999999999999,86.0,649388.5295562192,1e-05,,,,206448.0,204938.0,6119.728899997426,0.0,15.020299993921071,115.41030000080355,,,40.32299999380484,0.0,1.1540999985300004,2.5781000149436295,170.75359998852946,3.73220001347363,34700.37510001566,,,66.582650431972,0.7431196671500802,0.024363801687955856,0.767483468838036,61.81180503043533,28406.160400016233
