VEHICLE TRAINING UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   8   |  C2_D7  |   0.4471   |     81.17%     |
|   8   |  C1_D12 |   0.4511   |     81.03%     |
|   8   |  C2_D6  |   0.4458   |     81.21%     |
|   8   |  C1_D14 |   0.4493   |     80.38%     |
|   8   |  C1_D18 |   0.4405   |     81.25%     |
|   8   |  C1_D11 |   0.4464   |     80.56%     |
|   8   |  C1_D17 |   0.4379   |     82.0%      |
|   8   |  C2_D19 |   0.4566   |     80.72%     |
|   8   |  C2_D16 |   0.4392   |     80.89%     |
|   8   |  C1_D20 |   0.452    |     80.19%     |
|   8   |  C1_D10 |   0.4723   |     79.8%      |
|   8   |  C1_D16 |   0.4629   |     79.56%     |
|   8   |  C2_D1  |   0.4391   |     80.89%     |
|   8   |  C1_D13 |   0.4326   |     81.52%     |
|   8   |  C2_D18 |   0.4421   |     80.51%     |
|   8   |  C1_D19 |   0.4383   |     81.54%     |
|   8   |  C2_D3  |   0.4327   |     82.6%      |
|   8   |  C2_D8  |   0.4592   |     80.48%     |
|   8   |  C1_D3  |   0.4242   |     83.04%     |
|   8   |  C2_D4  |   0.4557   |     79.99%     |
|   8   |  C2_D20 |   0.4525   |     80.48%     |
|   8   |  C2_D17 |   0.4469   |     81.35%     |
|   8   |  C1_D7  |   0.4408   |     81.93%     |
|   8   |  C2_D11 |   0.4522   |     80.62%     |
|   8   |  C2_D14 |   0.4611   |     79.64%     |
|   8   |  C1_D15 |   0.4432   |     80.98%     |
|   8   |  C2_D12 |   0.439    |     80.87%     |
|   8   |  C2_D15 |   0.4457   |     80.9%      |
|   9   |  C1_D2  |   0.4455   |     81.22%     |
|   9   |  C1_D1  |   0.4418   |     81.19%     |
|   9   |  C1_D6  |   0.4414   |     81.33%     |
|   9   |  C1_D5  |   0.4365   |     81.43%     |
|   9   |  C2_D2  |   0.4484   |     80.72%     |
|   9   |  C1_D9  |   0.4518   |     80.59%     |
|   9   |  C1_D4  |   0.4521   |     80.49%     |
|   9   |  C1_D12 |   0.4426   |     81.13%     |
|   9   |  C1_D8  |   0.4416   |     80.95%     |
|   9   |  C2_D10 |   0.4211   |     83.06%     |
|   9   |  C1_D18 |   0.4368   |     81.33%     |
|   9   |  C2_D13 |   0.4319   |     82.57%     |
|   9   |  C1_D7  |   0.4327   |     82.14%     |
|   9   |  C2_D7  |   0.4403   |     81.47%     |
|   9   |  C2_D6  |   0.4391   |     81.06%     |
|   9   |  C1_D14 |   0.4429   |     80.53%     |
|   9   |  C2_D9  |   0.4275   |     81.93%     |
|   9   |  C2_D19 |   0.4514   |     80.81%     |
|   9   |  C1_D11 |   0.4427   |     80.9%      |
|   9   |  C1_D17 |   0.432    |     82.39%     |
|   9   |  C2_D16 |   0.4345   |     80.9%      |
|   9   |  C1_D20 |   0.4459   |     80.13%     |
|   9   |  C1_D16 |   0.4572   |     79.8%      |
|   9   |  C1_D10 |   0.4653   |     79.94%     |
|   9   |  C2_D1  |   0.4352   |     80.81%     |
|   9   |  C2_D18 |   0.4378   |     80.6%      |
|   9   |  C1_D13 |   0.426    |     81.54%     |
|   9   |  C2_D3  |   0.4253   |     82.82%     |
|   9   |  C1_D15 |   0.4378   |     80.62%     |
|   9   |  C2_D11 |   0.4457   |     80.79%     |
|   9   |  C2_D4  |   0.4489   |     80.13%     |
|   9   |  C2_D8  |   0.4534   |     80.45%     |
|   9   |  C1_D3  |   0.4172   |     83.12%     |
|   9   |  C2_D20 |   0.4496   |     80.37%     |
|   9   |  C2_D17 |   0.4424   |     81.13%     |
|   9   |  C2_D5  |   0.4476   |     81.09%     |
|   9   |  C1_D19 |   0.4335   |     81.21%     |
|   9   |  C2_D12 |   0.4333   |     81.24%     |
|   10  |  C1_D5  |   0.4297   |     81.55%     |
|   10  |  C2_D10 |   0.4161   |     83.01%     |
|   9   |  C2_D14 |   0.4546   |     79.59%     |
|   10  |  C1_D1  |   0.4348   |     81.32%     |
|   10  |  C1_D2  |   0.4399   |     81.19%     |
|   10  |  C2_D20 |   0.4408   |     80.67%     |
|   10  |  C2_D2  |   0.442    |     80.89%     |
|   10  |  C1_D6  |   0.4387   |     81.4%      |
|   10  |  C1_D4  |   0.4465   |     80.76%     |
|   10  |  C2_D6  |   0.4355   |     81.59%     |
|   10  |  C1_D9  |   0.4471   |     80.79%     |
|   10  |  C2_D7  |   0.4357   |     81.03%     |
|   10  |  C1_D7  |   0.4273   |     82.31%     |
|   10  |  C1_D12 |   0.4377   |     81.09%     |
|   10  |  C2_D9  |   0.423    |     81.81%     |
|   10  |  C1_D11 |   0.4374   |     80.81%     |
|   10  |  C2_D16 |   0.4303   |     81.17%     |
|   10  |  C1_D14 |   0.4395   |     80.34%     |
|   10  |  C1_D17 |   0.4291   |     82.49%     |
|   10  |  C1_D18 |   0.4322   |     80.73%     |
|   10  |  C1_D20 |   0.4422   |     80.24%     |
|   10  |  C1_D16 |   0.4532   |     80.07%     |
|   10  |  C2_D19 |   0.4459   |     80.87%     |
|   10  |  C1_D10 |   0.4611   |     80.07%     |
|   10  |  C2_D1  |   0.4312   |     80.92%     |
|   10  |  C2_D18 |   0.4314   |     81.13%     |
|   10  |  C1_D13 |   0.4191   |     81.74%     |
|   10  |  C1_D15 |   0.4344   |     80.73%     |
|   10  |  C2_D3  |   0.4223   |     82.8%      |
|   10  |  C2_D4  |   0.4433   |     80.13%     |
|   10  |  C2_D11 |   0.442    |     80.72%     |
|   10  |  C1_D3  |   0.4112   |     83.34%     |
|   10  |  C2_D8  |   0.447    |     80.53%     |
|   10  |  C2_D17 |   0.4378   |     81.17%     |
|   9   |  C2_D15 |   0.4417   |     80.87%     |
|   10  |  C2_D5  |   0.4403   |     81.28%     |
|   10  |  C1_D8  |   0.435    |     81.17%     |
|   10  |  C2_D13 |   0.4236   |     82.57%     |
|   10  |  C1_D19 |   0.4287   |     81.98%     |
|   10  |  C2_D12 |   0.4276   |     81.27%     |
|   10  |  C2_D14 |   0.4476   |     79.88%     |
|   11  |  C1_D2  |   0.4321   |     81.22%     |
|   11  |  C1_D1  |   0.4302   |     81.4%      |
|   11  |  C1_D5  |   0.4251   |     81.54%     |
|   11  |  C1_D6  |   0.4312   |     81.92%     |
|   11  |  C2_D2  |   0.4374   |     80.89%     |
|   11  |  C2_D10 |   0.4096   |     83.23%     |
|   11  |  C1_D4  |   0.4376   |     80.73%     |
|   11  |  C1_D9  |   0.4398   |     80.97%     |
|   11  |  C2_D7  |   0.4306   |     81.05%     |
|   11  |  C2_D20 |   0.438    |     80.87%     |
|   11  |  C2_D6  |   0.4281   |     81.52%     |
|   11  |  C1_D12 |   0.4302   |     81.82%     |
|   11  |  C2_D9  |   0.418    |     81.98%     |
|   11  |  C1_D11 |   0.4322   |     80.89%     |
|   11  |  C2_D16 |   0.4245   |     80.94%     |
|   11  |  C1_D14 |   0.4327   |     80.59%     |
|   11  |  C1_D7  |    0.42    |     82.25%     |
|   11  |  C1_D17 |   0.4232   |     82.44%     |
|   11  |  C1_D18 |   0.4255   |     81.06%     |
|   11  |  C2_D19 |   0.4403   |     81.02%     |
|   11  |  C2_D1  |   0.4253   |     81.0%      |
|   11  |  C1_D20 |   0.4357   |     80.21%     |
|   11  |  C1_D16 |   0.4449   |     79.97%     |
|   11  |  C1_D10 |   0.4523   |     80.13%     |
|   11  |  C2_D18 |   0.4271   |     80.92%     |
|   11  |  C1_D15 |   0.4283   |     81.08%     |
|   11  |  C2_D4  |   0.4365   |     80.35%     |
|   11  |  C1_D13 |   0.4166   |     81.78%     |
|   11  |  C2_D3  |   0.4174   |     82.8%      |
|   11  |  C1_D3  |   0.4051   |     83.61%     |
|   11  |  C2_D11 |   0.4324   |     80.73%     |
|   11  |  C2_D8  |   0.4415   |     80.92%     |
|   11  |  C2_D17 |   0.4316   |     81.09%     |
|   11  |  C2_D5  |   0.4334   |     81.46%     |
|   11  |  C2_D13 |   0.4188   |     82.77%     |
|   11  |  C1_D8  |   0.432    |     81.28%     |
|   10  |  C2_D15 |   0.435    |     80.76%     |
|   11  |  C2_D12 |   0.4239   |     81.05%     |
|   11  |  C1_D19 |   0.4251   |     81.85%     |
|   12  |  C2_D2  |   0.4318   |     80.98%     |
|   11  |  C2_D14 |   0.4418   |     79.92%     |
|   12  |  C2_D18 |   0.4239   |     81.09%     |
|   12  |  C1_D4  |   0.4314   |     81.08%     |
|   12  |  C1_D2  |   0.4286   |     81.43%     |
|   12  |  C1_D6  |   0.4281   |     81.65%     |
|   12  |  C2_D1  |   0.4193   |     81.13%     |
|   12  |  C1_D1  |   0.4219   |     81.52%     |
|   12  |  C1_D9  |   0.4356   |     81.06%     |
|   12  |  C1_D5  |   0.4212   |     81.81%     |
|   12  |  C1_D7  |   0.4176   |     82.22%     |
|   12  |  C2_D6  |   0.4275   |     81.38%     |
|   12  |  C2_D7  |   0.4276   |     81.22%     |
|   12  |  C1_D10 |   0.4482   |     80.35%     |
|   12  |  C1_D11 |   0.4281   |     81.03%     |
|   12  |  C2_D10 |   0.4068   |     83.23%     |
|   12  |  C1_D12 |   0.426    |     81.74%     |
|   12  |  C1_D15 |   0.4275   |     80.7%      |
|   12  |  C1_D14 |   0.4283   |     80.76%     |
|   12  |  C1_D18 |   0.421    |     81.13%     |
|   12  |  C1_D17 |   0.4175   |     82.55%     |
|   12  |  C2_D16 |   0.4206   |     81.11%     |
|   12  |  C1_D20 |   0.4313   |     80.43%     |
|   12  |  C2_D19 |   0.4364   |     81.0%      |
|   12  |  C1_D16 |   0.4422   |     80.43%     |
|   12  |  C2_D4  |   0.4329   |     80.35%     |
|   12  |  C2_D20 |   0.4317   |     80.87%     |
|   12  |  C1_D3  |   0.4006   |     83.66%     |
|   12  |  C2_D3  |   0.414    |     83.04%     |
|   12  |  C2_D11 |   0.4278   |     80.7%      |
|   12  |  C2_D8  |   0.4364   |     80.89%     |
|   12  |  C2_D13 |   0.4147   |     82.5%      |
|   12  |  C2_D17 |   0.4259   |     81.25%     |
|   12  |  C2_D5  |   0.4297   |     81.71%     |
|   12  |  C1_D8  |   0.4272   |     81.35%     |
|   12  |  C2_D9  |   0.414    |     82.11%     |
|   12  |  C1_D13 |   0.4111   |     82.01%     |
|   12  |  C2_D12 |   0.4183   |     81.22%     |
|   12  |  C1_D19 |    0.42    |     82.06%     |
|   13  |  C2_D1  |   0.4173   |     81.14%     |
|   12  |  C2_D14 |   0.4379   |     79.97%     |
|   13  |  C1_D3  |   0.3959   |     84.02%     |
|   13  |  C2_D11 |   0.4247   |     81.05%     |
|   13  |  C1_D2  |   0.4228   |     81.87%     |
|   13  |  C1_D1  |   0.4171   |     81.54%     |
|   13  |  C1_D5  |   0.4173   |     81.68%     |
|   13  |  C1_D4  |   0.4257   |     81.24%     |
|   13  |  C1_D6  |   0.422    |     81.65%     |
|   13  |  C2_D6  |   0.4206   |     81.54%     |
|   11  |  C2_D15 |   0.4284   |     80.95%     |
|   13  |  C2_D7  |   0.4248   |     81.41%     |
|   13  |  C1_D9  |   0.4289   |     81.4%      |
|   13  |  C2_D10 |   0.4014   |     83.26%     |
|   13  |  C1_D7  |   0.412    |     82.53%     |
