node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,throughput_bytes_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,action_to_response_ms,end_to_end_time_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
C2_D7,28,0.40290241884161726,81.85413700363867,79.84790874524715,2171182.2091202666,1e-05,,,,,,2797.0,59164.03789998731,0.0,,,,,,0.0,,1.9514000159688294,0.0,1.9514000159688294,,96446.49480000953,96446.49480000953,,,643.7047323518619,0.0,0.01273873930424452,0.01273873930424452,81.12237996801362,37280.50550000626
C2_D8,28,0.4074511388034532,81.55355165321942,80.6083650190114,2171182.2091202666,1e-05,,,,,8523.0,7056.0,76730.99129999173,0.0,12.18309998512268,123.2153000019025,34.00809999826985,,50.64520001178607,0.0,2.619400038383901,1.8214000156149268,220.0516999970811,4.440800053998828,17277.829099999508,96358.80109999562,96358.80109999562,,,834.8331853439101,0.957664998387297,0.02898954275250435,0.9866545411398013,42.221618444697306,19403.317299952803
C2_D9,28,0.38835041593722625,82.69261192849233,83.07984790874525,2171182.2091202666,1e-05,,,,,12782.0,11316.0,63236.5720999951,0.0,11.970099993050098,112.97720001311973,34.00809999826985,,39.07840000465512,0.0,6.164100021123886,3.865000035148114,198.0338000090948,10.029100056272,30681.190200004494,96397.87389998673,96397.87389998673,,,688.0139044479467,0.8618430976395806,0.06546996516734362,0.9273130628069242,71.70624784623956,32953.23889992627
Cluster_1,28,,,,,,,,,,60220.0,11325.0,,0.0,13.108599989209324,122.21249999129213,45.81754999526311,109.88050000742078,43.37420000229031,0.0,192.87800003075972,0.294700002996251,224.51284997805487,193.17270003375597,,417.68555001181085,,214.7255000018049,,0.0,0.9770799231044949,1.261031385820359,2.2381113089248537,0.0,0.0
Cluster_2,28,,,,,,,,,,60221.0,32645.0,,0.0,16.095200000563636,108.72769998968579,45.81754999526311,204.0485999896191,42.91170000215061,0.0,166.46659999969415,1.6848999657668173,213.55214998766314,168.15149996546097,,381.7036499531241,,290.4303999966942,,0.0,0.9293789567463101,1.0976929917745293,2.0270719485208395,0.0,0.0
Server,28,,,,,,71.39999999999999,2.0,0.14776889981376665,524.4318254390578,5594.0,7098.0,,0.0,,,,91.63509999052621,,0.0,4.2347999988123775,10.834700020495802,0.0,15.06950001930818,,107.69179998897016,,,107.69179998897016,0.0,0.0,0.0983736961260438,0.0983736961260438,0.2015461247339845,92.62229996966198
C1_D1,29,0.3915401352475388,82.39202657807309,82.31939163498099,2248724.044453909,1e-05,,,,,,2797.0,56621.885200002,0.0,,,,,,0.0,,0.07160002132877707,0.0,0.07160002132877707,,100384.639099997,100384.639099997,,,616.0461109760217,0.0,0.0004674049392342568,0.0004674049392342568,95.22759668474272,43762.682299973676
C1_D10,29,0.4178891607908288,81.07894320518906,80.98859315589354,2248724.044453909,1e-05,,,,,,2797.0,80554.54949999694,0.0,,,,,,0.0,,6.684299994958565,0.0,6.684299994958565,,100376.75100000342,100376.75100000342,,,876.4334985599668,0.0,0.04363511036708951,0.04363511036708951,43.118565427225086,19815.517200011527
C1_D11,29,0.3983198888976165,81.80667615883563,81.93916349809885,2248724.044453909,1e-05,,,,,,2797.0,65083.406699995976,0.0,,,,,,0.0,,2.8605000115931034,0.0,2.8605000115931034,,100376.96600001073,100376.96600001073,,,708.1074648959562,0.0,0.01867334407567978,0.01867334407567978,76.79256058880686,35290.698800003156
C1_D12,29,0.3964163810767309,82.34456573327003,81.74904942965779,2248724.044453909,1e-05,,,,,4264.0,2797.0,85176.55730000115,0.0,12.738199991872534,115.06859998917207,49.21179999655578,,40.88670000783168,0.0,20.61649999814108,0.8412000024691224,217.90529998543207,21.457700000610203,15025.293199985754,100424.32240000926,100424.32240000926,,,926.7209434240126,0.9483238655366004,0.1400758656039834,1.0883997311405837,32.65828296964802,15008.402100022067
